,go,process,process.simple,count,genes,fold_enrichment,p_value,fdr,perc_total,group,GO.category,term,GOSlim_bin,aspect
11,GO:0002485,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",antigen processing and presentation of endogenous peptide antigen,2,"P08183, P21440",105.0375,0.018439222,0.392301958,0.020833333,All Cohorts,BP,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",other biological processes,P
12,GO:0055085,transmembrane transport,transmembrane transport,5,"O70595, P08183, P21440, Q99758, Q5BKR2",4.752828054,0.018641715,0.392301958,0.052083333,All Cohorts,BP,transmembrane transport,transport,P
13,GO:0008202,steroid metabolic process,steroid metabolic process,3,"Q95JD5, P10632, O43704",13.70054348,0.019104055,0.392301958,0.03125,All Cohorts,BP,steroid metabolic process,other metabolic processes,P
14,GO:0006869,lipid transport,lipid transport,3,"P18948, P21440, Q99758",13.40904255,0.019895278,0.392301958,0.03125,All Cohorts,BP,lipid transport,transport,P
15,GO:0006629,lipid metabolic process,lipid metabolic process,4,"Q03181, P18948, G5EC63, Q9R0H0",6.513953488,0.02160795,0.392301958,0.041666667,All Cohorts,BP,lipid metabolic process,other metabolic processes,P
16,GO:0071243,cellular response to arsenic-containing substance,cellular response to arsenic-containing substance,2,"Q9Z339, P78417",84.03,0.022997011,0.392301958,0.020833333,All Cohorts,BP,NA,NA,NA
17,GO:0010880,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,2,"Q9Z339, P78417",84.03,0.022997011,0.392301958,0.020833333,All Cohorts,BP,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,transport,P
18,GO:0019852,L-ascorbic acid metabolic process,L-ascorbic acid metabolic process,2,"Q9Z339, P78417",70.025,0.027534177,0.42025849,0.020833333,All Cohorts,BP,L-ascorbic acid metabolic process,other metabolic processes,P
19,GO:0042178,xenobiotic catabolic process,xenobiotic catabolic process,2,"Q9Z339, P78417",70.025,0.027534177,0.42025849,0.020833333,All Cohorts,BP,xenobiotic catabolic process,other metabolic processes,P
20,GO:0009812,flavonoid metabolic process,flavonoid metabolic process,2,"Q95JD5, O43704",52.51875,0.036547001,0.529931511,0.020833333,All Cohorts,BP,flavonoid metabolic process,other metabolic processes,P
21,GO:0045909,positive regulation of vasodilation,positive regulation of vasodilation,2,"Q01279, Q03181",46.68333333,0.04102284,0.56650588,0.020833333,All Cohorts,BP,positive regulation of vasodilation,other biological processes,P
22,GO:0045332,phospholipid translocation,phospholipid translocation,2,"P08183, P21440",42.015,0.045478416,0.573423507,0.020833333,All Cohorts,BP,phospholipid translocation,cell organization and biogenesis,P
23,GO:0045332,phospholipid translocation,phospholipid translocation,2,"P08183, P21440",42.015,0.045478416,0.573423507,0.020833333,All Cohorts,BP,phospholipid translocation,transport,P
24,GO:0042446,hormone biosynthetic process,hormone biosynthetic process,2,"P49894, O42412",42.015,0.045478416,0.573423507,0.020833333,All Cohorts,BP,hormone biosynthetic process,other metabolic processes,P
25,GO:0042403,thyroid hormone metabolic process,thyroid hormone metabolic process,2,"Q95JD5, O43704",38.19545455,0.04991382,0.599721309,0.020833333,All Cohorts,BP,thyroid hormone metabolic process,other metabolic processes,P
26,GO:0008152,metabolic process,metabolic process,4,"Q9Z339, P34277, P78417, Q9R0H0",4.617032967,0.051700113,0.599721309,0.041666667,All Cohorts,BP,metabolic process,other metabolic processes,P
27,GO:0006091,generation of precursor metabolites and energy,generation of precursor metabolites and energy,2,"Q03181, Q9R0H0",35.0125,0.054329139,0.605978859,0.020833333,All Cohorts,BP,generation of precursor metabolites and energy,other metabolic processes,P
28,GO:0006855,drug transmembrane transport,drug transmembrane transport,2,"P08183, P21440",32.31923077,0.058724463,0.630744233,0.020833333,All Cohorts,BP,multidrug transport,transport,P
29,GO:0006810,transport,transport,6,"P48035, O70595, P08183, P21440, Q99758, Q5BKR2",2.704828326,0.062570091,0.630998797,0.0625,All Cohorts,BP,transport,transport,P
30,GO:0008544,epidermis development,epidermis development,2,"Q01279, P08842",30.01071429,0.06309988,0.630998797,0.020833333,All Cohorts,BP,epidermis development,developmental processes,P
31,GO:0051923,sulfation,sulfation,2,"Q95JD5, O43704",28.01,0.067455477,0.65206961,0.020833333,All Cohorts,BP,sulfation,other metabolic processes,P
32,GO:0019373,epoxygenase P450 pathway,epoxygenase P450 pathway,2,"P24470, P10632",24.71470588,0.076107562,0.711973968,0.020833333,All Cohorts,BP,epoxygenase P450 pathway,other metabolic processes,P
33,GO:0055088,lipid homeostasis,lipid homeostasis,2,"P21440, Q9R0H0",20.00714286,0.09317772,0.818834509,0.020833333,All Cohorts,BP,lipid homeostasis,other biological processes,P
34,GO:0019369,arachidonic acid metabolic process,arachidonic acid metabolic process,2,"P11714, P24470",20.00714286,0.09317772,0.818834509,0.020833333,All Cohorts,BP,arachidonic acid metabolic process,other metabolic processes,P
35,GO:0070330,aromatase activity,aromatase activity,10,"P24461, P11714, Q9CX98, P24470, Q64583, P10632, Q7Z449, P00178, Q0IIF9, P52786",30.72338831,1.69E-11,2.91E-09,0.095238095,All Cohorts,MF,aromatase activity,other molecular function,F
36,GO:0020037,heme binding,heme binding,12,"P24461, O70595, P11714, Q9CX98, P24470, Q64583, P10632, Q7Z449, P00178, Q0IIF9, Q6NT55, P52786",15.83961353,1.01E-10,8.69E-09,0.114285714,All Cohorts,MF,heme binding,other molecular function,F
37,GO:0005506,iron ion binding,iron ion binding,11,"P24461, P11714, Q9CX98, P24470, Q64583, P10632, Q7Z449, P00178, Q0IIF9, Q6NT55, P52786",14.20400126,2.55E-09,1.46E-07,0.104761905,All Cohorts,MF,iron ion binding,other molecular function,F
38,GO:0008395,steroid hydroxylase activity,steroid hydroxylase activity,7,"P11714, Q9CX98, P24470, Q64583, P10632, Q7Z449, Q0IIF9",35.63913043,2.79E-08,1.20E-06,0.066666667,All Cohorts,MF,steroid hydroxylase activity,other molecular function,F
39,GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",oxidoreductase activity,6,"P11714, Q9CX98, Q64583, Q7Z449, P00178, Q0IIF9",41.12207358,2.40E-07,8.24E-06,0.057142857,All Cohorts,MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",other molecular function,F
40,GO:0004497,monooxygenase activity,monooxygenase activity,7,"F1QH17, P11714, Q9CX98, P24470, P10632, Q7Z449, Q6NT55",17.08725432,2.51E-06,7.19E-05,0.066666667,All Cohorts,MF,monooxygenase activity,other molecular function,F
41,GO:0050610,methylarsonate reductase activity,methylarsonate reductase activity,3,"Q9Z339, P34277, P78417",178.1956522,8.81E-05,0.002164901,0.028571429,All Cohorts,MF,methylarsonate reductase activity,other molecular function,F
42,GO:0045174,glutathione dehydrogenase (ascorbate) activity,glutathione dehydrogenase (ascorbate) activity,3,"Q9Z339, P34277, P78417",133.6467391,0.000175597,0.00328091,0.028571429,All Cohorts,MF,glutathione dehydrogenase (ascorbate) activity,other molecular function,F
43,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",oxidoreductase activity,5,"P11714, Q9CX98, P24470, P10632, Q6NT55",16.81091058,0.000190751,0.00328091,0.047619048,All Cohorts,MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",other molecular function,F
44,GO:0042626,"ATPase activity, coupled to transmembrane movement of substances",ATPase activity,5,"P10090, O70595, P08183, P21440, Q99758",16.81091058,0.000190751,0.00328091,0.047619048,All Cohorts,MF,"ATPase activity, coupled to transmembrane movement of substances",transporter activity,F
45,GO:0016491,oxidoreductase activity,oxidoreductase activity,8,"Q9Z339, F1QH17, P11714, Q9CX98, G5EC63, P34277, P78417, Q9R0H0",6.280022984,0.000210694,0.003294495,0.076190476,All Cohorts,MF,oxidoreductase activity,other molecular function,F
46,GO:0005504,fatty acid binding,fatty acid binding,3,"Q03181, P48035, Q9R0H0",76.36956522,0.000608168,0.008717076,0.028571429,All Cohorts,MF,fatty acid binding,other molecular function,F
47,GO:0004364,glutathione transferase activity,glutathione transferase activity,3,"Q9Z339, P34277, P78417",23.24291115,0.006929184,0.091678431,0.028571429,All Cohorts,MF,glutathione transferase activity,other molecular function,F
48,GO:0008392,arachidonic acid epoxygenase activity,arachidonic acid epoxygenase activity,3,"P11714, P24470, P10632",21.38347826,0.008159475,0.100244974,0.028571429,All Cohorts,MF,arachidonic acid epoxygenase activity,other molecular function,F
49,GO:0004800,thyroxine 5'-deiodinase activity,thyroxine 5'-deiodinase activity,2,"P49894, O42412",178.1956522,0.010950155,0.125561775,0.019047619,All Cohorts,MF,thyroxine 5'-deiodinase activity,other molecular function,F
50,GO:0008146,sulfotransferase activity,sulfotransferase activity,3,"F1QYJ6, Q95JD5, O43704",14.84963768,0.01649329,0.177302871,0.028571429,All Cohorts,MF,sulfotransferase activity,other molecular function,F
51,GO:0090554,phosphatidylcholine-translocating ATPase activity,phosphatidylcholine-translocating ATPase activity,2,"P08183, P21440",71.27826087,0.02715589,0.274753711,0.019047619,All Cohorts,MF,NA,NA,NA
52,GO:0008559,xenobiotic-transporting ATPase activity,xenobiotic-transporting ATPase activity,2,"P08183, P21440",39.59903382,0.048360222,0.462108787,0.019047619,All Cohorts,MF,xenobiotic-transporting ATPase activity,transporter activity,F
53,GO:0016887,ATPase activity,ATPase activity,4,"P10090, O70595, P21440, Q99758",4.569119287,0.053661399,0.485776876,0.038095238,All Cohorts,MF,ATPase activity,other molecular function,F
54,GO:0005319,lipid transporter activity,lipid transporter activity,2,"P18948, Q99758",29.69927536,0.063966246,0.550109716,0.019047619,All Cohorts,MF,lipid transporter activity,transporter activity,F
55,GO:0004062,aryl sulfotransferase activity,aryl sulfotransferase activity,2,"Q95JD5, O43704",27.41471572,0.06911243,0.566063715,0.019047619,All Cohorts,MF,aryl sulfotransferase activity,other molecular function,F
56,GO:0019825,oxygen binding,oxygen binding,2,"P10632, Q7Z449",25.45652174,0.074230947,0.580351041,0.019047619,All Cohorts,MF,oxygen binding,other molecular function,F
57,GO:0030097,hemopoiesis,hemopoiesis,3,"Q04721, Q02858, P08953",17.01012146,0.012618987,1,0.166666667,Fidalgo Bay,BP,hemopoiesis,developmental processes,P
58,GO:1990403,embryonic brain development,embryonic brain development,2,"E9PY46, P62997",110.5657895,0.017499874,1,0.111111111,Fidalgo Bay,BP,NA,NA,NA
59,GO:0007507,heart development,heart development,4,"P97864, E9PY46, Q02858, P08953",6.600942655,0.020756392,1,0.222222222,Fidalgo Bay,BP,heart development,developmental processes,P
60,GO:0044255,cellular lipid metabolic process,cellular lipid metabolic process,2,"Q9BYK8, Q08BB2",36.85526316,0.051610231,1,0.111111111,Fidalgo Bay,BP,cellular lipid metabolic process,other metabolic processes,P
61,GO:0009617,response to bacterium,response to bacterium,2,"P08953, Q6AYS4",26.01547988,0.072341098,1,0.111111111,Fidalgo Bay,BP,response to bacterium,other biological processes,P
62,GO:0045944,positive regulation of transcription from RNA polymerase II promoter,positive regulation of transcription from RNA polymerase II promoter,5,"Q7ZVK3, Q62725, Q9BYK8, E9QAM5, P08953",2.879317434,0.086778152,1,0.277777778,Fidalgo Bay,BP,positive regulation of transcription from RNA polymerase II promoter,RNA metabolism,P
63,GO:0020037,heme binding,heme binding,4,"P24470, P00178, Q0IIF9, Q6NT55",6.564164164,0.020992338,0.73087324,0.266666667,Fidalgo Bay,MF,heme binding,other molecular function,F
64,GO:0005506,iron ion binding,iron ion binding,4,"P24470, P00178, Q0IIF9, Q6NT55",6.421464943,0.022234652,0.73087324,0.266666667,Fidalgo Bay,MF,iron ion binding,other molecular function,F
65,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",hydrolase activity,2,"Q7ZVK3, Q08BB2",73.84684685,0.026071333,0.73087324,0.133333333,Fidalgo Bay,MF,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",other molecular function,F
66,GO:0070330,aromatase activity,aromatase activity,3,"P24470, P00178, Q0IIF9",11.45899348,0.026577209,0.73087324,0.2,Fidalgo Bay,MF,aromatase activity,other molecular function,F
67,GO:0030374,ligand-dependent nuclear receptor transcription coactivator activity,ligand-dependent nuclear receptor transcription coactivator activity,2,"Q9BYK8, E9QAM5",26.063593,0.072162975,1,0.133333333,Fidalgo Bay,MF,ligand-dependent nuclear receptor transcription coactivator activity,transcription regulatory activity,F
68,GO:0055114,oxidation-reduction process,oxidation-reduction process,12,"Q9Z339, P49894, P11714, P51174, Q64583, P10632, O42412, P34277, Q7Z449, Q0IIF9, Q6VVW9, Q9R0H0",4.104530468,0.000104222,0.02299267,0.133333333,Dabob Bay,BP,oxidation reduction,other metabolic processes,P
69,GO:0002591,positive regulation of antigen processing and presentation of peptide antigen via MHC class I,positive regulation of antigen processing and presentation of peptide antigen,3,"P08183, P21440, P06795",110.5657895,0.000259511,0.02299267,0.033333333,Dabob Bay,BP,positive regulation of antigen processing and presentation of peptide antigen via MHC class I,other biological processes,P
70,GO:0002489,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",antigen processing and presentation of endogenous peptide antigen,3,"P08183, P21440, P06795",110.5657895,0.000259511,0.02299267,0.033333333,Dabob Bay,BP,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",other biological processes,P
71,GO:0002485,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",antigen processing and presentation of endogenous peptide antigen,3,"P08183, P21440, P06795",110.5657895,0.000259511,0.02299267,0.033333333,Dabob Bay,BP,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",other biological processes,P
72,GO:0002481,"antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent",antigen processing and presentation of exogenous protein antigen,3,"P08183, P21440, P06795",110.5657895,0.000259511,0.02299267,0.033333333,Dabob Bay,BP,"antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent",other biological processes,P
73,GO:0006631,fatty acid metabolic process,fatty acid metabolic process,4,"P48035, O35488, P51174, Q9R0H0",11.34008097,0.004918179,0.363125564,0.044444444,Dabob Bay,BP,fatty acid metabolic process,other metabolic processes,P
74,GO:0008152,metabolic process,metabolic process,6,"Q9Z339, O35488, P51174, P34277, P47713, Q9R0H0",4.860034702,0.007056762,0.446592225,0.066666667,Dabob Bay,BP,metabolic process,other metabolic processes,P
75,GO:0055088,lipid homeostasis,lipid homeostasis,3,"P51174, P21440, Q9R0H0",21.06015038,0.00844621,0.467708904,0.033333333,Dabob Bay,BP,lipid homeostasis,other biological processes,P
76,GO:0006805,xenobiotic metabolic process,xenobiotic metabolic process,3,"Q95JD5, P10632, O43704",19.22883295,0.01008942,0.496623692,0.033333333,Dabob Bay,BP,xenobiotic metabolic process,other metabolic processes,P
77,GO:0006810,transport,transport,9,"Q9Z2J0, P48035, P08183, Q8R4G9, Q7TM99, P21440, P06795, Q99758, P43006",2.847187712,0.011444044,0.50697115,0.1,Dabob Bay,BP,transport,transport,P
78,GO:0042493,response to drug,response to drug,5,"P08183, Q8R4G9, P06795, Q99758, P43006",5.380330388,0.012906216,0.519768503,0.055555556,Dabob Bay,BP,response to drug,other biological processes,P
79,GO:0055085,transmembrane transport,transmembrane transport,6,"Q9Z2J0, P08183, Q7TM99, P21440, P06795, Q99758",4.002381519,0.015475855,0.571316993,0.066666667,Dabob Bay,BP,transmembrane transport,transport,P
80,GO:0097267,omega-hydroxylase P450 pathway,omega-hydroxylase P450 pathway,2,"P10632, Q7Z449",98.28070175,0.019862266,0.676844898,0.022222222,Dabob Bay,BP,NA,NA,NA
81,GO:0030855,epithelial cell differentiation,epithelial cell differentiation,3,"Q9UGM3, Q95JD5, O43704",11.34008097,0.027613019,0.873754812,0.033333333,Dabob Bay,BP,epithelial cell differentiation,developmental processes,P
82,GO:0008202,steroid metabolic process,steroid metabolic process,3,"Q95JD5, P10632, O43704",9.614416476,0.037447471,0.997747748,0.033333333,Dabob Bay,BP,steroid metabolic process,other metabolic processes,P
83,GO:0006940,regulation of smooth muscle contraction,regulation of smooth muscle contraction,2,"P49817, Q8R4G9",49.14035088,0.039336929,0.997747748,0.022222222,Dabob Bay,BP,regulation of smooth muscle contraction,other biological processes,P
84,GO:0009812,flavonoid metabolic process,flavonoid metabolic process,2,"Q95JD5, O43704",36.85526316,0.052108377,0.997747748,0.022222222,Dabob Bay,BP,flavonoid metabolic process,other metabolic processes,P
85,GO:0006629,lipid metabolic process,lipid metabolic process,4,"O35488, P51174, P47713, Q9R0H0",4.57119543,0.054401858,0.997747748,0.044444444,Dabob Bay,BP,lipid metabolic process,other metabolic processes,P
86,GO:0042446,hormone biosynthetic process,hormone biosynthetic process,2,"P49894, O42412",29.48421053,0.064713029,0.997747748,0.022222222,Dabob Bay,BP,hormone biosynthetic process,other metabolic processes,P
87,GO:0045332,phospholipid translocation,phospholipid translocation,2,"P08183, P21440",29.48421053,0.064713029,0.997747748,0.022222222,Dabob Bay,BP,phospholipid translocation,cell organization and biogenesis,P
88,GO:0045332,phospholipid translocation,phospholipid translocation,2,"P08183, P21440",29.48421053,0.064713029,0.997747748,0.022222222,Dabob Bay,BP,phospholipid translocation,transport,P
89,GO:0042403,thyroid hormone metabolic process,thyroid hormone metabolic process,2,"Q95JD5, O43704",26.80382775,0.070953476,0.997747748,0.022222222,Dabob Bay,BP,thyroid hormone metabolic process,other metabolic processes,P
90,GO:0006855,drug transmembrane transport,drug transmembrane transport,2,"P08183, P21440",22.68016194,0.083311936,0.997747748,0.022222222,Dabob Bay,BP,multidrug transport,transport,P
91,GO:0010942,positive regulation of cell death,positive regulation of cell death,2,"O95069, Q8CJ26",21.06015038,0.089430474,0.997747748,0.022222222,Dabob Bay,BP,positive regulation of cell death,death,P
92,GO:0000038,very long-chain fatty acid metabolic process,very long-chain fatty acid metabolic process,2,"O35488, Q9R0H0",19.65614035,0.095508897,0.997747748,0.022222222,Dabob Bay,BP,very-long-chain fatty acid metabolic process,other metabolic processes,P
93,GO:0051923,sulfation,sulfation,2,"Q95JD5, O43704",19.65614035,0.095508897,0.997747748,0.022222222,Dabob Bay,BP,sulfation,other metabolic processes,P
94,GO:0070330,aromatase activity,aromatase activity,8,"P24461, P11714, Q64583, P10632, Q7Z449, P00178, Q0IIF9, P52786",18.5347654,1.77E-07,2.77E-05,0.095238095,Dabob Bay,MF,aromatase activity,other molecular function,F
95,GO:0020037,heme binding,heme binding,10,"P24461, Q9WVI4, P11714, Q64583, P10632, Q7Z449, P00178, Q0IIF9, P52786, Q6VVW9",9.953855495,4.95E-07,3.89E-05,0.119047619,Dabob Bay,MF,heme binding,other molecular function,F
96,GO:0008395,steroid hydroxylase activity,steroid hydroxylase activity,6,"P11714, Q64583, P10632, Q7Z449, Q0IIF9, Q6VVW9",23.03606557,4.87E-06,0.000252965,0.071428571,Dabob Bay,MF,steroid hydroxylase activity,other molecular function,F
97,GO:0005506,iron ion binding,iron ion binding,9,"P24461, P11714, Q64583, P10632, Q7Z449, P00178, Q0IIF9, P52786, Q6VVW9",8.763720599,6.44E-06,0.000252965,0.107142857,Dabob Bay,MF,iron ion binding,other molecular function,F
98,GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",oxidoreductase activity,5,"P11714, Q64583, Q7Z449, P00178, Q0IIF9",25.84174023,3.44E-05,0.00107959,0.05952381,Dabob Bay,MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",other molecular function,F
99,GO:0008559,xenobiotic-transporting ATPase activity,xenobiotic-transporting ATPase activity,3,"P08183, P21440, P06795",44.79234973,0.001835239,0.048022091,0.035714286,Dabob Bay,MF,xenobiotic-transporting ATPase activity,transporter activity,F
100,GO:0042626,"ATPase activity, coupled to transmembrane movement of substances",ATPase activity,4,"P08183, P21440, P06795, Q99758",10.14166409,0.006736975,0.151100718,0.047619048,Dabob Bay,MF,"ATPase activity, coupled to transmembrane movement of substances",transporter activity,F
101,GO:0005215,transporter activity,transporter activity,5,"Q9Z2J0, P48035, P08183, P06795, Q99758",5.842480399,0.009804634,0.192415945,0.05952381,Dabob Bay,MF,transporter activity,transporter activity,F
102,GO:0004800,thyroxine 5'-deiodinase activity,thyroxine 5'-deiodinase activity,2,"P49894, O42412",134.3770492,0.01458681,0.253351031,0.023809524,Dabob Bay,MF,thyroxine 5'-deiodinase activity,other molecular function,F
103,GO:0004497,monooxygenase activity,monooxygenase activity,4,"P11714, P10632, Q7Z449, Q6VVW9",7.363125982,0.016137008,0.253351031,0.047619048,Dabob Bay,MF,monooxygenase activity,other molecular function,F
104,GO:0050610,methylarsonate reductase activity,methylarsonate reductase activity,2,"Q9Z339, P34277",89.58469945,0.02180155,0.311167573,0.023809524,Dabob Bay,MF,methylarsonate reductase activity,other molecular function,F
105,GO:0016491,oxidoreductase activity,oxidoreductase activity,6,"Q9Z339, P11714, P51174, P34277, Q6VVW9, Q9R0H0",3.551816278,0.024777168,0.324167951,0.071428571,Dabob Bay,MF,oxidoreductase activity,other molecular function,F
106,GO:0008146,sulfotransferase activity,sulfotransferase activity,3,"F1QYJ6, Q95JD5, O43704",11.19808743,0.02830349,0.324814389,0.035714286,Dabob Bay,MF,sulfotransferase activity,other molecular function,F
107,GO:0045174,glutathione dehydrogenase (ascorbate) activity,glutathione dehydrogenase (ascorbate) activity,2,"Q9Z339, P34277",67.18852459,0.02896434,0.324814389,0.023809524,Dabob Bay,MF,glutathione dehydrogenase (ascorbate) activity,other molecular function,F
108,GO:0090554,phosphatidylcholine-translocating ATPase activity,phosphatidylcholine-translocating ATPase activity,2,"P08183, P21440",53.75081967,0.03607555,0.353991334,0.023809524,Dabob Bay,MF,NA,NA,NA
109,GO:0016401,palmitoyl-CoA oxidase activity,palmitoyl-CoA oxidase activity,2,"P51174, Q9R0H0",53.75081967,0.03607555,0.353991334,0.023809524,Dabob Bay,MF,palmitoyl-CoA oxidase activity,other molecular function,F
110,GO:0005504,fatty acid binding,fatty acid binding,2,"P48035, Q9R0H0",38.39344262,0.050144684,0.463100902,0.023809524,Dabob Bay,MF,fatty acid binding,other molecular function,F
111,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",oxidoreductase activity,3,"P11714, P10632, Q6VVW9",7.606248067,0.057225797,0.499136115,0.035714286,Dabob Bay,MF,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",other molecular function,F
112,GO:0004062,aryl sulfotransferase activity,aryl sulfotransferase activity,2,"Q95JD5, O43704",20.67339218,0.091151598,0.721913957,0.023809524,Dabob Bay,MF,aryl sulfotransferase activity,other molecular function,F
113,GO:0052890,"oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor",oxidoreductase activity,2,"P51174, Q9R0H0",19.19672131,0.097814709,0.721913957,0.023809524,Dabob Bay,MF,NA,NA,NA
114,GO:0019825,oxygen binding,oxygen binding,2,"P10632, Q7Z449",19.19672131,0.097814709,0.721913957,0.023809524,Dabob Bay,MF,oxygen binding,other molecular function,F
